id,question,y
119,"What is the responsibility of the Rescue Coordination Centre (RCC) during the ""Distress Phase""?
Options:
A. Assisting the aircraft and determining its location 
B. Collecting and evaluating reports and data pertaining to the subject aircraft  
C. Activating appropriate SAR units and initiating further action  
D. Coordinating the execution of the search and rescue operation  
E. Informing the aircraft operator, State of Registry, and accident investigation authorities",
120,"Which chapter of Annex 13 addresses incident reporting systems?
Options:
A. Chapter 8  
B. Chapter 6  
C. Chapter 7 
D. Chapter 13  
E. Chapter 14",
121,"What did the ICAO Assembly resolution adopted in 1971 place responsibility on ICAO for?
Options:
A. Controlling aircraft noise  
B. Controlling aircraft engine emissions  
C. Guiding the development of international civil aviation  
D. Both controlling aircraft noise and guiding the development of international civil aviation  
E. Both controlling aircraft engine emissions and guiding the development of international civil aviation",
122,"What are the factors affecting aircraft noise?
Options:
A. Power of the engines and atmosphere conditions  
B. Power of the engines and number of jet aircraft  
C. Speed of the aircraft and atmospheric conditions  
D. Speed of the aircraft and number of jet aircraft  
E. Power of the engines and aircraft altitude",
123,"What is the purpose of the alerting service provided by air traffic control?
Options:
A. To set in motion appropriate rescue and emergency organizations  
B. To provide communication between ATS units and other essential offices  
C. To provide information to aircraft known or believed to be subject to unlawful interference  
D. To ensure direct, rapid and continuous communication between air-ground stations  
E. To record important information transmitted over air-ground radio channels",
124,"Which volume of Annex 10 contains SARPs and guidance material for secondary surveillance radar (SSR) and airborne collision avoidance systems (ACAS)?
Options:
A. Volume I  
B. Volume II  
C. Volume III  
D. Volume IV 
E. Volume V",
125,"When is the ""Distress Phase"" declared?
Options:
A. When an aircraft is in distress 
B. When radio contact with an aircraft is lost and cannot be re-established  
C. When an aircraft fails to arrive at its destination  
D. When a Rescue Coordination Centre (RCC
E. When SAR units are alerted",
126,"According to Annex 11, what is the recommended form of communication between ATS units?
Options:
A. Two-way radiotelephony communication  
B. Exchange of printed messages  
C. Direct voice communication 
D. Recording of communications  
E. Both A and B",
127,"What is covered in Chapter 3 of Annex 12?
Options:
A. Preparatory measures for SAR operations  
B. Equipment requirements for rescue units  
C. Cooperation between SAR services of neighbouring states 
D. Organization and cooperative principles for effective SAR operations  
E. Collation and publication of information needed by SAR services",
128,"According to the passage, what is the objective of most specifications in aviation?
Options:
A. To improve the safety of equipment installed at airports  
B. To provide accurate information on airport facilities  
C. To standardize the location and light characteristics of visual aids 
D. To reduce the hazard posed by equipment near runways  
E. To eliminate features of airports that are attractive to birds",
129,"What does Annex 17 encourage States to have in their air transport agreements?
Options:
A. A security clause 
B. A safety clause  
C. An enforcement clause  
D. A surveillance clause  
E. A multilateral clause",
130,"What is the purpose of Annex 14, Volume I?
Options:
A. To improve the safety of equipment installed at airports  
B. To specify the construction and siting of equipment near runways  
C. To provide guidance for pilots to find their way in heavy traffic airports  
D. To set forth requirements for the rescue and fire fighting service at airports  
E. To improve the safety, regularity, and efficiency of aviation through the use of visual aids and maintenance of airports",
131,"According to Annex 10, what are three essential elements of international civil aviation?
Options:
A. Flight operations, navigation, radar systems  
B. Aeronautical communications, navigation, surveillance 
C. Radio navigation aids, surveillance radar systems, flight operations  
D. Communication procedures, navigation systems, flight operations  
E. Radio frequency utilization, navigation systems, surveillance radar systems",
132,"What is the purpose of SAR services?
Options:
A. To establish and maintain search and rescue routes  
B. To manage and provide international air traffic control services  
C. To assist aircraft in distress and in need of help 
D. To ensure safe and orderly flow of international air traffic  
E. To provide assistance in the event of disruptions of air traffic services",
133,"What is the purpose of the regulated system AIRAC mentioned in Annex 15?
Options:
A. To distribute specific types of aeronautical information  
B. To provide pre-flight information at each aerodrome/heliport  
C. To ensure the timely provision of quality aeronautical information  
D. To keep airline operations manuals and databases up to date 
E. To anticipate changes to facilities, services, and procedures",
134,"Which activity in international civil aviation may not be considered glamorous?
Options:
A. Aircraft noise control  
B. Aircraft engine emissions control  
C. Provision of aeronautical information services 
D. Air Traffic Control  
E. Aviation industry development",
135,"What is the Council's special procedure for updating the Technical Instructions?
Options:
A. Frequent amendment using the Annex amendment process  
B. Recommendations from the panel of experts  
C. Revision and reissuance to keep up with new products and technology  
D. Alignment with the United Nations Committee of Experts on the Transport of Dangerous Goods  
E. It is not specified in the text",
136,"According to Annex 11, what do air traffic services comprise?
Options:
A. Control of air traffic  
B. Flight information and alerting services  
C. Ground support facilities  
D. Safety and efficient operation of air traffic  
E. All of the above",
137,"What chapter of Annex 11 specifies the requirements for coordination between civil and military authorities?
Options:
A. Chapter 3  
B. Chapter 5  
C. Chapter 7  
D. Chapter 9  
E. It is not specified in Annex 11.",
138,"What is the responsibility of the Rescue Coordination Centre (RCC) during the ""Uncertainty Phase""?
Options:
A. Assisting the aircraft and determining its location  
B. Collecting and evaluating reports and data pertaining to the subject aircraft 
C. Activating appropriate SAR units and initiating further action  
D. Coordinating the execution of the search and rescue operation  
E. Informing the aircraft operator, State of Registry, and accident investigation authorities",
139,"According to the passage, what is the purpose of revising and reissuing the Technical Instructions regularly?
Options:
A. To conform to the regulations of the International Atomic Energy Agency  
B. To align with the recommendations of the United Nations Committee of Experts on the Transport of Dangerous Goods  
C. To keep up with new products and advances in technology 
D. To ensure safe and smooth cargo transfer between different modes of transport  
E. To meet the ICAO requirements for dangerous goods",
140,"What is the purpose of Annex 17 to the Convention on International Civil Aviation?
Options:
A. To ensure maximum compatibility between civil aviation and the environment  
B. To safeguard international civil aviation against acts of unlawful interference 
C. To establish administrative and coordination aspects of civil aviation security  
D. To outline the responsibilities of airline operators in protecting their passengers and assets  
E. To provide specifications for aviation security worldwide",
141,"What is the purpose of the Attachment to Annex 17?
Options:
A. To outline the responsibilities of States in implementing national security programmes  
B. To provide officials with a verbatim extract of Annex 17 
C. To specify the measures for the safety of passengers and crew of unlawfully diverted aircraft  
D. To address challenges posed by the events of 11 September 2001  
E. To establish international cooperation in threat information sharing",
142,"According to Annex 12, what should be done to facilitate accident investigation during SAR operations?
Options:
A. Include accident investigation personnel in the rescue units 
B. Disseminate information needed for the entry of rescue units into other territories  
C. Prepare detailed plans of operation for SAR operations  
D. Remove aircraft wreckage from the accident scene  
E. Train rescue units in preparatory measures for SAR operations",
143,"In Volume III of Annex 10, which system is NOT covered in the SARPs and guidance material?
Options:
A. Aeronautical telecommunication network (ATN
B. Aeronautical mobile-satellite service (AMSS
C. Secondary surveillance radar (SSR
D. Very high frequency (VHF
E. Global navigation satellite system (GNSS",
144,"Which class of dangerous goods covers materials that are hazardous to human tissue or the structure of an aircraft?
Options:
A. Class 3  
B. Class 6  
C. Class 7  
D. Class 8 
E. Class 9",
145,"According to the passage, what is the role of the aeronautical information service (AIS)?
Options:
A. To improve the safety of international civil aviation  
B. To ensure the flow of information necessary for airport maintenance  
C. To provide uniform and consistent aeronautical information/data  
D. To define the specifications for rescue and fire fighting services  
E. To support international air navigation by providing necessary information",
146,"What is the purpose of the ADREP system?
Options:
A. To store and analyze information on accidents and incidents  
B. To facilitate the exchange of safety information among Contracting States 
C. To develop and publish the final report of an investigation  
D. To promote the establishment of safety information sharing networks  
E. To determine preventive actions required from safety data analysis",
147,"What is the role of air traffic management in aviation safety?
Options:
A. To provide flight information and alerting services  
B. To separate aircraft in controlled airspace  
C. To maintain an orderly flow of air traffic  
D. To implement systematic safety management programmes 
E. To establish flight information centres and air traffic control units",
148,"According to the context of the passage, what is the primary responsibility of airline operators?
Options:
A. To implement effective complementary security programmes  
B. To establish national civil aviation security programmes  
C. To develop and implement security measures compatible with airports  
D. To protect passengers, assets, and revenues 
E. To ensure the safety of the general public",
149,"What is the ""Alert Phase""?
Options:
A. The phase when an aircraft is in distress  
B. The phase when radio contact with an aircraft is lost and cannot be re-established  
C. The phase when an aircraft fails to arrive at its destination  
D. The phase when SAR units are alerted 
E. The phase when the Rescue Coordination Centre (RCC",
150,"Who is entitled to appoint an accredited representative to participate in an investigation?
Options:
A. The State in which the accident or incident occurred  
B. The State of Registry  
C. The State of Operator  
D. The State of Manufacture  
E. The States of Registry, Operator, Design, and Manufacture",
151,"What does Annex 16 include?
Options:
A. Procedures for aircraft noise measurement  
B. Human tolerance to aircraft noise  
C. Aircraft noise certification  
D. Criteria for aircraft noise abatement procedures  
E. All of the above",
152,"Which type of aircraft is not evaluated based on the effective perceived noise level?
Options:
A. Subsonic jet aeroplanes  
B. Propeller-driven aeroplanes over 5,700 kg  
C. Supersonic aeroplanes  
D. Helicopters 
E. Propeller-driven aeroplanes not exceeding 5,700 kg",
153,"Annex 11 defines air traffic services and specifies the worldwide Standards and Recommended Practices applicable in the provision of these services. True or False?
Options:
A. True 
B. False",
154,"According to the text, what poses a serious threat to the safety and regularity of civil aviation?
Options:
A. Acts of unlawful interference 
B. Deficiencies in aviation security systems  
C. Non-operational threats  
D. The lack of multilateral arrangements  
E. None of the above",
155,"How is aeronautical information handled based on its duration of applicability?
Options:
A. It is published indiscriminately with a variety of effective dates  
B. It remains valid for many years 
C. It is only valid for a relatively short period of time  
D. It varies in terms of the number of operators affected  
E. It may be lengthy or concise depending on its volume",
156,"What is the purpose of establishing a quality system and implementing quality management procedures in the aeronautical information/data process?
Options:
A. To ensure the safety of air navigation 
B. To improve aircraft engine emissions  
C. To reduce aircraft noise near airports  
D. To increase the glamour of international civil aviation activities  
E. To provide timely and quality information to users",
157,"What types of aeronautical information are included in the integrated aeronautical information package mentioned in Annex 15?
Options:
A. Aeronautical Information Publication (AIP
B. Pre-flight information bulletins (PIB
C. Aeronautical information circulars (AIC
D. Lists of valid NOTAM and amendment service  
E. AIP supplements and lists of valid NOTAM",
158,"How many hazard classes are used for all modes of transport?
Options:
A. 7  
B. 8  
C. 9 
D. 10  
E. 11",
159,"Which type of runway is classified in Annex 14 as precision approach runway category II?
Options:
A. Non-instrument approach runway  
B. Non-precision approach runway  
C. Precision approach runway category I  
D. Precision approach runway category III  
E. Takeoff runway",
160,"According to Annex 15, what is the role of automated aeronautical information systems?
Options:
A. To ensure the timely provision of quality aeronautical information/data  
B. To distribute specific types of aeronautical information  
C. To relay important post-flight information from aircrews  
D. To provide regulations for entry into and transit of airspace  
E. To provide pre-flight information at each aerodrome/heliport",
161,"What is the purpose of Annex 15 in the context of air navigation?
Options:
A. To provide regulations for entry into and transit of airspace  
B. To prevent corrupt or erroneous aeronautical information/data 
C. To ensure the timely provision of quality aeronautical information/data  
D. To specify requirements for automated aeronautical information systems  
E. To distribute specific types of aeronautical information",
162,"ANNEX 15 to the Convention on International Civil Aviation refers to:
Options:
A. Specifications for the construction and siting of equipment near runways  
B. Provisions for heliports  
C. Aeronautical Information Services 
D. Improving the safety of equipment installed at airports  
E. Maintenance of airports",
163,"When was Annex 17 adopted by the Council?
Options:
A. June 1970  
B. March 1974  
C. December 2001  
D. July 2002  
E. June 1989",
164,"What is the objective of the investigation of an aircraft accident or incident?
Options:
A. Recovery of the aircraft  
B. Determination of the causes 
C. Prosecution of the responsible parties  
D. Compensation for the victims' families  
E. Prevention of repeated occurrences",
165,"How are changes in facilities, services, or procedures distributed to airline operations manuals and other documents?
Options:
A. By using the regulated system AIRAC  
B. By distributing information with a variety of effective dates  
C. By relaying important post-flight information from aircrews to the AIS  
D. By working according to a predetermined schedule of effective dates 
E. By providing pre-flight information at each aerodrome/heliport",
166,"Which of the following is an example of a Class 1 dangerous good?
Options:
A. Gasoline  
B. Lacquers  
C. Sporting ammunition 
D. Refrigerated liquid nitrogen  
E. Pesticides",
167,"Which document contains the very detailed and numerous instructions for the correct handling of dangerous cargo?
Options:
A. Annex 18  
B. Security Manual  
C. Technical Instructions 
D. Universal Security Audit Programme  
E. PANS documents",
168,"What is the purpose of the panel of experts established in 1976?
Options:
A. To develop regulations for the International Atomic Energy Agency  
B. To meet and recommend revisions to the Technical Instructions  
C. To ensure the safe transport of dangerous goods by all modes of transport  
D. To align the regulations of various transport modes  
E. To enforce the Technical Instructions uniformly",
169,"Who has the responsibility for conducting an investigation if the occurrence takes place outside the territory of any State?
Options:
A. The State of Occurrence  
B. The State of Registry  
C. The State of Manufacture  
D. The State of Design  
E. The State of Manufacture, Design, or Registry may conduct the investigation",
170,"What does Chapter 7 of Annex 13 address?
Options:
A. Incident reporting systems  
B. Accident prevention measures  
C. ADREP system 
D. Safety information sharing networks  
E. Preliminary and Accident/Incident Data Reports",
171,"What does Annex 11 specify regarding the identification of air traffic services routes?
Options:
A. They should be referred to using geographical references  
B. They should be referred to using radio aids 
C. They should be marked by a radio aid  
D. They should not be marked by a radio aid  
E. Both B and C",
172,"What is the role of computerized databases in facilitating accident prevention?
Options:
A. Storing and analyzing information on accidents and incidents  
B. Exchanging safety information among Contracting States  
C. Facilitating the free exchange of information on safety deficiencies  
D. Providing a non-punitive environment for voluntary reporting of safety hazards  
E. All of the above",
173,"According to Annex 15, who is responsible for providing aeronautical information to civil aviation interests?
Options:
A. The operator of the aircraft  
B. The International Civil Aviation Organization (ICAO
C. The State where operations will be carried out  
D. The State with air traffic control responsibilities 
E. The aviation agencies responsible for maintaining publications",
174,"What does Chapter 5 of Annex 13 address?
Options:
A. The investigation process  
B. The responsibilities of the investigator-in-charge  
C. The handling of flight recorders  
D. The coordination with judicial authorities  
E. All of the above",
175,"What is the main purpose of Annex 18?
Options:
A. To regulate the carriage of dangerous goods by air internationally  
B. To ensure the safe transport of dangerous goods by air  
C. To align the rules of air transport with other modes of transport  
D. To develop legal and technical regulations for aviation security  
E. To recommend amendments to the Technical Instructions",
176,"What has been the trend in adopting emission limits for oxides of nitrogen according to the Council of ICAO?
Options:
A. Stricter limits in 1993 and 1999 
B. Looser limits in 1993 and 1999  
C. No changes in limits since 1993  
D. The limits have not been revised by the Council  
E. The limits are still under consideration",
177,"Why is it important to ensure that users receive timely and quality aeronautical information/data?
Options:
A. To reduce aircraft noise near airports  
B. To improve aircraft engine emissions  
C. To increase the glamour of international civil aviation activities  
D. To ensure the safety of air navigation 
E. To comply with Annex 15 requirements",
178,"When is the ""Uncertainty Phase"" declared?
Options:
A. When an aircraft is in distress  
B. When radio contact with an aircraft is lost and cannot be re-established 
C. When an aircraft fails to arrive at its destination  
D. When a Rescue Coordination Centre (RCC
E. When SAR units are alerted",
179,"What is the purpose of the alerting service?
Options:
A. To provide information on surface vessels for flight over water  
B. To broadcast operational flight information service (OFIS
C. To establish identification for military aircraft  
D. To alert rescue coordination centres in case of emergencies 
E. To specify restrictions to traffic flow",
180,"What is a distinguishing feature of Annex 14?
Options:
A. It contains specifications for water aerodromes and aerodromes without runways  
B. It covers a broad range of subjects related to aerodromes 
C. It is applicable to all airports worldwide  
D. It is split into two volumes, Volume I and Volume II  
E. It has rapidly changing provisions due to technological advances",
181,"When did the Council of ICAO adopt a more stringent noise standard?
Options:
A. 1981  
B. 1982  
C. 1993  
D. 2001 
E. 2006",
182,"What does Chapter 6 of Annex 13 cover?
Options:
A. Incident reporting systems  
B. Accident prevention measures 
C. ADREP system  
D. Safety information sharing networks  
E. Preliminary and Accident/Incident Data Reports",
183,"What type of information is provided to IFR flights?
Options:
A. Significant meteorological information  
B. Changes in the condition of aerodromes  
C. Collision hazards for aircraft operating outside control areas  
D. Weather conditions at departure, destination and alternate aerodromes  
E. All of the above",
184,"What do Annex 16 of the Convention on International Civil Aviation and the resolution adopted in 1971 have in common?
Options:
A. They both address the issue of aircraft noise 
B. They both address the issue of aircraft engine emissions  
C. They both address the issue of aircraft noise and aircraft engine emissions  
D. They both establish quality management procedures  
E. They both deal with the provision of aeronautical information services",
185,"Which volume of Annex 10 contains SARPs and guidance material for voice communication systems used in international civil aviation?
Options:
A. Volume I  
B. Volume II 
C. Volume III  
D. Volume IV  
E. Volume V",
186,"Which panel is responsible for recommending revisions to the Technical Instructions?
Options:
A. The United Nations Committee of Experts on the Transport of Dangerous Goods  
B. The International Atomic Energy Agency  
C. The Council to allow the Technical Instructions  
D. The ICAO requirements for dangerous goods panel  
E. A panel of experts established in 1976",
187,"How has the need for aeronautical information/data changed with the evolution of CNS/ATM systems?
Options:
A. It has become less important for the safety of air navigation  
B. It is no longer required for pre-flight planning purposes  
C. It has become more urgent and critical to ensure accuracy and integrity 
D. It has decreased the reliance on automated aeronautical information systems  
E. It has reduced the need for amendments to airline operations manuals",
188,"According to Volume II of Annex 16, what is the limitation on the intentional venting of raw fuel?
Options:
A. No limitation is mentioned  
B. Only for turbine engine powered aircrafts manufactured before 18 February 1982  
C. Only for turbine engine powered aircrafts manufactured after 18 February 1982 
D. Only for subsonic engines manufactured before 1 January 1983  
E. Only for supersonic engines manufactured after 18 February 1982",
189,"What was the purpose of Amendment 7 to Annex 17?
Options:
A. To clarify the standards for baggage reconciliation with passengers  
B. To enhance security controls for commercial courier services  
C. To introduce new measures for cargo and mail security  
D. To address challenges posed by the events of 11 September 2001  
E. All of the above",
190,"What does Chapter 8 of Annex 13 recommend regarding safety information sharing networks?
Options:
A. Their establishment to facilitate the exchange of information on safety deficiencies 
B. Their use for storing and analyzing safety data  
C. Their non-punitive environment for voluntary reporting of safety hazards  
D. Their reporting requirements for the ADREP system  
E. Their coverage of incident reporting systems",
191,"When did Amendment 10 to Annex 17 become applicable?
Options:
A. June 1970  
B. March 1974  
C. December 2001  
D. July 2002 
E. June 1989",
192,"Why was there a change in the focus of ICAO's work regarding aircraft engine emissions?
Options:
A. Concerns regarding air quality near airports  
B. Concerns regarding global atmospheric problems  
C. Both concerns regarding air quality near airports and global atmospheric problems 
D. Climate change  
E. The LTO cycle of operations",
193,"What does the term ""clearance"" refer to in air traffic control service?
Options:
A. Communication between ATC units  
B. Transfer of responsibility for control  
C. Traffic flow restrictions at busy aerodromes  
D. Longitudinal, vertical or lateral separation between aircraft 
E. Weather conditions at departure, destination and alternate aerodromes",
194,"What is a requirement for States regarding SAR services in their territories and over the high seas?
Options:
A. Provide mobile SAR units  
B. Establish means of communication for rescue units  
C. Designate other elements of public or private services for SAR activity  
D. Publish and disseminate all information needed for the entry of rescue units from other states 
E. Prepare detailed plans of operation for the conduct of SAR operations",
195,"How does Annex 14 define the ground environment of an airport?
Options:
A. Through radio aids  
B. Through visual aids 
C. Through the ADREP system  
D. Through incident reporting systems  
E. Through safety information sharing networks",
196,"When did the concern about aircraft noise increase significantly?
Options:
A. In the early 1960s  
B. In the 1970s  
C. In the 1980s  
D. In the 1990s  
E. In the 2000s",
197,"What is the ""balanced approach to noise management"" endorsed by the ICAO Assembly?
Options:
A. Reduction of noise only at source  
B. Land-use planning only  
C. Operational measures only  
D. Operation restrictions only  
E. Reduction of noise at source, land-use planning, operational measures, and operation restrictions",
198,"What do the ICAO requirements for dangerous goods aim to achieve?
Options:
A. Safe and smooth transfer of cargo between different transport modes  
B. International enforcement of regulations  
C. Compatibility with the regulations of the International Atomic Energy Agency  
D. All of the above 
E. None of the above",
199,"When was the Security Manual for Safeguarding Civil Aviation Against Acts of Unlawful Interference first published?
Options:
A. 1971 
B. 2002  
C. 1976  
D. Late 2002  
E. It is not specified in the text",
200,"What does Annex 12 address?
Options:
A. Air traffic control procedures and equipment  
B. Air-ground communication requirements  
C. Contingency planning for disruptions in air traffic services  
D. Search and rescue services 
E. Guidelines for airspace organization",
201,"Which Annex of the Convention on International Civil Aviation deals with the protection of the environment from the effect of aircraft noise and aircraft engine emissions?
Options:
A. Annex 1  
B. Annex 10  
C. Annex 15  
D. Annex 16 
E. Annex 20",
202,"What is emphasized in Annex 12 regarding the equipment requirements of rescue units?
Options:
A. Giving adequate assistance at the scene of accidents  
B. Including accident investigation personnel in the rescue units  
C. Cooperation between SAR services of neighbouring states  
D. Preparation of detailed plans of operation for SAR operations  
E. Both A and B",
203,"What is the main focus of Annex 17 prior to 1985?
Options:
A. Sabotage  
B. In-flight attack  
C. Facility attack  
D. Hijacking 
E. Commercial courier services",
204,"What is the purpose of Volume I of Annex 16?
Options:
A. To prohibit the venting of raw fuels  
B. To standardize noise evaluation measures 
C. To limit the emission of smoke from turbo-jet engines  
D. To limit the emission of carbon monoxide from turbofan engines  
E. To grant noise certification to aircrafts",
205,"Which of the following navigation systems has posed exacting requirements for the quality of aeronautical information/data?
Options:
A. Communications and Navigation systems  
B. Area Navigation (RNAV
C. Required Navigation Performance (RNP
D. Airborne computer-based navigation systems  
E. All of the above",
206,"What is the purpose of the Universal Security Audit Programme?
Options:
A. To identify deficiencies in aviation security systems  
B. To improve the legal framework for aviation security  
C. To provide feedback on the provisions in Annex 17  
D. All of the above 
E. None of the above",
207,"Prior to 1985, what was the main threat to civil aviation?
Options:
A. Sabotage  
B. In-flight attack  
C. Facility attack  
D. Commercial courier services  
E. Hijacking",
208,"Which of the following is not a pollutant that is limited in Volume II of Annex 16?
Options:
A. Smoke  
B. Carbon monoxide  
C. Unburned hydrocarbons  
D. Nitrogen oxides  
E. Raw fuel",
209,"What is the principal document giving direction on the establishment of security measures?
Options:
A. Annex 18  
B. Security Manual  
C. Technical Instructions  
D. Universal Security Audit Programme  
E. Annex 17",
210,"What committee was established to assist ICAO in the development of noise certification requirements for different classes of aircraft?
Options:
A. Committee on Aircraft Noise (CAN
B. Committee on Aircraft Engine Emissions (CAEE
C. Committee on Aircraft Safety  
D. Committee on Air Traffic Control  
E. Committee on Aviation Glamour",
211,"Who is responsible for reviewing and maintaining Annex 17?
Options:
A. Air Navigation Commission  
B. Air Transport Committee  
C. Committee on Unlawful Interference  
D. Aviation Security (AVSEC
E. Council of the International Civil Aviation Organization (ICAO)",
212,"Which organizations are represented in the Aviation Security (AVSEC) Panel?
Options:
A. Airports Council International (ACI
B. International Air Transport Association (IATA
C. International Federation of Airlines Pilots Association (IFALPA
D. International Criminal Police Organization (ICPO-INTERPOL
E. All of the above",
213,"According to Annex 10, what does Volume V contain information on?
Options:
A. Radio spectrum planning for all radio service users  
B. Utilization of aeronautical frequencies 
C. Technical characteristics of ACAS  
D. Standards and recommended practices for radio navigation aids  
E. Procedures for air navigation services",
214,"What are the three distinct phases that categorize emergency situations?
Options:
A. Response Phase, Recovery Phase, Prevention Phase  
B. Uncertainty Phase, Distress Phase, Alert Phase 
C. Preparation Phase, Investigation Phase, Evaluation Phase  
D. Analysis Phase, Action Phase, Coordination Phase  
E. Precaution Phase, Intervention Phase, Resolution Phase",
215,"Within which regions are air traffic services provided?
Options:
A. Flight Information Routes (FIRs
B. Air Traffic Information Centers  
C. International Airspace  
D. Control Zones  
E. Flight Information Regions (FIRs",
